name,price,url,rating,rating_number,page,keyword,source,execution_date,scraper_type
"MacBook Pro (2023). O notebook da Apple chip M3 Pro, CPU de 11-core e GPU de 14-core: Tela Liquid Retina XDR de 14,2 pol, 18GB memória unificada e SSD 512GB. Funciona com o iPhone/iPad. Preto-espacial","16.499,",/MacBook-notebook-Apple-11-core-14-core/dp/B0CM7DZM2X/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-7&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Notebook MacBook Air (2023) Apple com chip M2: tela Liquid Retina de 15,3 polegadas, 8GB GB de RAM, SSD de de 256 GB GB, teclado retroiluminado, câmera FaceTime HD de 1080p e Touch ID. Cinza-Escuro.",N/A,/Notebook-MacBook-Apple-chip-retroiluminado/dp/B0C765SKCG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-8,"4,2 de 5 estrelas",12,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Pro de 13 polegadas: Chip M2 da Apple com CPU de oito núcleos e GPU de dez núcleos, de 256 GB SSD - Prateado",N/A,/Notebook-Apple-MacBook-Pro-13-polegadas/dp/B0B3BZH3NX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-9,"4,8 de 5 estrelas",143,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Apple notebook MacBook Pro (de 16 polegadas, Processador M1 Max da Apple com CPU 10‑core e GPU 32‑core, 32 GB RAM, 1 TB SSD) - Cinza espacial","16.999,",/Apple-MacBook-16-polegadas-Maxcessador-GPU-32%E2%80%91core/dp/B09L5BW9WV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-10&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e,"5,0 de 5 estrelas",4,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
2010 Macbook,N/A,/2010-Macbook/dp/B0C2H3HGR8/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-11,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
Macbook Pro Teardown,N/A,/dp/B0DCBFVWN5/ref=sr_1_12?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-12,N/A,N/A,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Galaxy Book2 Intel® Core™ i5-1235U, Windows 11 Home, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Full HD LED, 1.81kg*.","3.171,",/Notebook-Samsung-i5-1235U-Windows-Grafite/dp/B0C5YT4KQZ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"4,7 de 5 estrelas",655,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Adaptador USB-C para HDMI 4K, USB 3.0 e Carga PD - Compatibilidade com MacBook, Thunderbolt 3 e DEX Android - Eleva Sua Experiência Multimídia e Oferece Carga Rápida-Vende Mais","59,",/Adaptador-USB-C-para-HDMI-Carga/dp/B0D2CPKQ4X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-14,"4,4 de 5 estrelas",15,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Notebook Positivo Duo 2 em1 Intel Celeron 4GB 128GB, Tela 11,6"" IPS HD, Windows11, Cinza - C4128B-3","1.349,",/Notebook-Positivo-Celeron-C4128B-3-Windows11/dp/B0BZ8Y9QV9/ref=sr_1_15?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-15&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"4,5 de 5 estrelas",265,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
"Galaxy Book2 Intel® Core™ i3-1215U, Windows 11 Home, 4GB, 256GB SSD, 15.6'' Full HD LED, 1.81kg*.","2.419,",/Galaxy-Intel%C2%AE-CoreTM-i3-1215U-Windows/dp/B0CB6XBMPV/ref=sr_1_16?dib=eyJ2IjoiMSJ9.ed-ihsuiy_YvdiPgMc7BwXhNHTTPAm4M_gNqc4k23Gcxt1BTvSujs-b59s3c0E0vnY0O7SMGLRjWDQi0oQLIXPmOAulJvfPc-lV4ijZyxdDBQcOPv89gftEq7bv6p16QEKOrOkX80AeNoxVpdMs5obRHJfU4nQSg6I59qr8N_b2GSvrHgqwlEYtye_wMjNHmA_Ila1z1GnoTANQy6WdKkGj2wFUOQdjpJ3X_bezvqBDnkqGgBSPp8zAbEXIDLun6WB88Uph14TapAOZaVVN24pq_VW_j8HXX2v7pv7lOF8c.CPNuaEdou-cxd-u1PqHogXpjeZP63-DNATc5lCFgwP4&dib_tag=se&keywords=macbook&qid=1722963005&sr=8-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147,"4,7 de 5 estrelas",136,1,macbook,amazon,2024-08-06T13:50:53.352308,Browser
